OBJECTID,NAME,ORDNUM,STATUS,SHAPE.AREA,SHAPE.LEN,LONGITUDE,LATITUDE
970,33rd & Montgall URA,60807,Active,440087.6728,,39.06346512,-94.55207967
971,Main 20 West URA,51138,Terminated,21168.50965,,39.08863119,-94.58433701
973,2537 Madison Avenue URA,60754,Active,16673.28663,,39.08084384,-94.59508085
975,Dutch Hill Apartments URA,60753,Active,46292.39055,,39.07421968,-94.57383897
1281,Clarion Hotel URA,70304,Active,539134.9249,,39.05165938,-94.47256436
1283,21st & Montgall URA,70306,Active,441871.552,,39.08675896,-94.55189774
1602,Scarritt Renaissance I URA,70485,Active,7745311.409,,39.10622048,-94.54823367
1921,Wabash Village URA,71056,Active,4756996.723,,39.03039303,-94.56135446
2241,Brittany Pointe Apartments URA,71104,Active,489829.4009,,38.98253814,-94.57624836
2242,Columbus Park URA,71182,Active,15285475.27,,39.11572139,-94.57851288
2243,Troost 63rd-53rd URA (2nd),71221,Expired,80926.45427,,39.02350259,-94.57387397
2561,Main 31 Holmes URA,80122,Active,106173.181,,39.0693084,-94.57662142
2881,Longfellow/Dutch Hill Neighborhoods URA,81090,Active,5680541.18,,39.0685831,-94.57902735
3201,Martin City URA,90420,Active,22593418.64,,38.88960831,-94.58615958
3521,Troost Paseo URA,180215,Active,5306624.911,,,
3841,Habitat for Humanity Scattered Site URA,90794,Active,161878.2807,,39.0815126,-94.54597918
4161,Scarritt Renaissance II URA,91054,Active,9183030.096,,39.10589874,-94.53906389
4481,18th & Holmes URA,60545,Active,30437.69035,,39.09191652,-94.57488209
4801,Kansas Avenue URA,100348,Active,1566203.548,,39.08991053,-94.54935909
5121,Indiana Corridor URA,100349,Active,2550824.819,,39.09327161,-94.5461907
5122,Seven Oaks URA,120740,Active,1068515.721,,,
5442,1915 Main Street URA,140593,Active,19079.82881,,39.08996217,-94.58356004
5762,1914 Main Street URA,140542,Active,12203.98458,,39.0895738,-94.58428273
6082,Faxson School Senior Housing URA,140799,Active,76052.55111,,39.05885196,-94.56750043
6402,Arterra 21/2100 Wyandotte URA,150077,Active,22626.30649,,39.08778834,-94.58682037
6722,Switzer and West Schools URA,150255,Active,221654.6196,,39.0912407,-94.59569198
7042,63rd and Holmes URA,150434,Active,20044.9399,,39.01358187,-94.57981174
7043,Key Coalition URA,150508,Active,7153405.023,,39.07729614,-94.55825861
7362,Amended and Restated Mount Cleveland URA,150684,Active,1376989.601,,39.03304206,-94.53634789
7363,East Crossroads URA,150593,Active,3957243.318,,39.09541379,-94.57276526
7364,Truman & Wyandotte URA,150597,Active,175053.8102,,39.0959185,-94.58452342
7365,Indian Mound-Lykins URA,130929,Active,54161979.11,,39.10694079,-94.50980235
7682,Norman School URA,160088,Active,89279.7749,,39.06430845,-94.59481741
7683,Linwood & Cleveland URA,160150,Active,446369.7922,,39.06938575,-94.53796455
8002,Walmart,160491,Active,2240418.419,,39.04434101,-94.4505503
8322,Hospital Hill II URA,200087,Active,8644100.611,,39.08643732,-94.57369922
8323,Waldo Ice House URA,200038,Active,20723.72528,,38.99274521,-94.59280029
8324,Blue Parkway Towne Center UR,200543,Active,1748647.083,,,
8325,22nd & Prospect URA,200064,Active,37790.52642,,39.08646969,-94.55191594
8326,Waldo Ice House URA,200038,Active,20723.93185,,38.99236161,-94.59282156
8327,Marlborough Community Coalition URA,191042,Active,33921978.79,,38.99149183,-94.57474487
8328,14th & Agnes URA,200192,Active,71088.43373,,39.0960313,-94.54607129
8329,Oglesby Hotel URA,200599,Active,12042.39396,,39.05524442,-94.57232041
8642,Gallerie URA,200057,Active,17124.57719,,39.07608597,-94.57985087
