Latitude,Longitude,Activations
39.050,-94.549,19
39.053,-94.550,13
39.058,-94.571,4
39.064,-94.571,5
39.054,-94.566,18
39.052,-94.563,15
39.048,-94.557,20
39.034,-94.557,13
39.060,-94.554,9
39.039,-94.564,5
39.038,-94.560,8
39.060,-94.546,34
39.063,-94.554,34
39.061,-94.553,24
39.065,-94.561,9
39.064,-94.566,6
39.059,-94.554,18
39.056,-94.547,8
39.060,-94.571,6
39.057,-94.561,14
39.034,-94.567,10
39.043,-94.568,5
39.053,-94.546,8
39.049,-94.567,25
39.055,-94.554,10
39.041,-94.552,15
39.047,-94.560,8
39.042,-94.569,10
39.047,-94.559,21
39.057,-94.551,21
39.043,-94.555,17
39.068,-94.573,7
39.061,-94.547,17
39.039,-94.557,6
39.041,-94.559,10
39.064,-94.551,29
39.042,-94.557,3
39.065,-94.558,28
39.057,-94.548,20
39.044,-94.561,5
39.067,-94.572,14
39.061,-94.564,10
39.046,-94.569,7
39.053,-94.564,9
39.036,-94.555,4
39.057,-94.550,26
39.052,-94.560,32
39.059,-94.556,11
39.034,-94.566,21
39.051,-94.565,29
39.063,-94.557,27
39.064,-94.561,7
39.036,-94.562,27
39.050,-94.565,6
39.058,-94.575,1
39.037,-94.564,9
39.057,-94.552,6
39.060,-94.556,17
39.066,-94.553,14
39.070,-94.573,2
39.048,-94.562,7
39.046,-94.555,9
39.035,-94.559,5
39.052,-94.550,21
39.052,-94.548,18
39.048,-94.552,11
39.033,-94.563,2
39.057,-94.571,3
39.039,-94.556,8
39.053,-94.572,10
39.053,-94.571,8
39.053,-94.552,19
39.063,-94.558,11
39.054,-94.568,9
39.033,-94.553,5
39.059,-94.558,19
39.053,-94.565,14
39.037,-94.565,1
39.058,-94.560,21
39.052,-94.559,36
39.051,-94.550,11
39.056,-94.564,5
39.060,-94.574,1
39.063,-94.548,18
39.043,-94.573,3
39.041,-94.573,3
39.042,-94.572,3
39.040,-94.572,5
39.045,-94.552,14
39.047,-94.547,9
39.059,-94.549,13
39.054,-94.553,5
39.062,-94.573,4
39.034,-94.562,14
39.042,-94.567,2
39.058,-94.548,14
39.045,-94.560,25
39.054,-94.555,22
39.048,-94.559,17
39.059,-94.557,12
39.069,-94.561,4
39.063,-94.561,10
39.040,-94.558,4
39.069,-94.557,3
39.040,-94.568,5
39.065,-94.566,17
39.041,-94.560,9
39.062,-94.554,25
39.065,-94.572,24
39.036,-94.568,4
39.050,-94.546,14
39.057,-94.556,23
39.038,-94.568,9
39.053,-94.547,20
39.038,-94.563,5
39.057,-94.557,19
39.047,-94.550,12
39.040,-94.560,6
39.034,-94.555,17
39.039,-94.568,5
39.060,-94.559,18
39.058,-94.550,22
39.050,-94.559,16
39.061,-94.566,8
39.049,-94.546,6
39.056,-94.555,7
39.046,-94.556,10
39.062,-94.556,7
39.062,-94.555,11
39.041,-94.554,9
39.046,-94.558,25
39.035,-94.566,8
39.034,-94.560,9
39.064,-94.572,10
39.038,-94.559,24
39.055,-94.572,6
39.060,-94.549,15
39.037,-94.566,4
39.036,-94.566,17
39.067,-94.555,18
39.052,-94.564,17
39.063,-94.572,6
39.035,-94.562,13
39.037,-94.555,3
39.062,-94.572,5
39.052,-94.554,23
39.057,-94.558,9
39.049,-94.570,28
39.040,-94.564,6
39.038,-94.562,7
39.049,-94.572,17
39.062,-94.552,10
39.056,-94.546,14
39.033,-94.556,5
39.055,-94.553,6
39.068,-94.551,6
39.055,-94.557,5
39.058,-94.553,15
39.060,-94.555,27
39.057,-94.567,8
39.059,-94.567,3
39.055,-94.556,9
39.051,-94.548,12
39.065,-94.556,9
39.061,-94.549,11
39.060,-94.573,1
39.049,-94.556,9
39.050,-94.556,12
39.056,-94.560,7
39.036,-94.570,3
39.060,-94.548,10
39.060,-94.547,13
39.044,-94.567,7
39.043,-94.565,8
39.037,-94.556,4
39.046,-94.570,1
39.045,-94.569,24
39.033,-94.562,3
39.048,-94.570,15
39.041,-94.566,4
39.054,-94.547,9
39.054,-94.546,3
39.053,-94.558,6
39.050,-94.555,28
39.056,-94.570,9
39.048,-94.565,8
39.064,-94.548,43
39.049,-94.560,13
39.044,-94.553,30
39.062,-94.560,12
39.070,-94.554,7
39.045,-94.556,11
39.057,-94.549,13
39.052,-94.555,16
39.061,-94.572,9
39.069,-94.563,3
39.061,-94.565,12
39.068,-94.567,2
39.039,-94.555,14
39.037,-94.560,13
39.038,-94.566,11
39.062,-94.546,9
39.047,-94.568,22
39.048,-94.548,12
39.065,-94.569,11
39.056,-94.566,22
39.052,-94.562,8
39.036,-94.553,7
39.043,-94.550,11
39.070,-94.561,6
39.068,-94.555,22
39.051,-94.568,11
39.047,-94.570,11
39.062,-94.545,4
39.059,-94.563,9
39.048,-94.572,7
39.052,-94.556,5
39.051,-94.547,6
39.044,-94.566,8
39.065,-94.568,6
39.064,-94.569,7
39.063,-94.560,11
39.071,-94.566,2
39.063,-94.562,7
39.046,-94.568,6
39.047,-94.555,25
39.069,-94.568,2
39.065,-94.551,5
39.054,-94.549,10
39.051,-94.566,17
39.050,-94.564,5
39.045,-94.561,5
39.069,-94.552,8
39.039,-94.559,22
39.060,-94.558,14
39.049,-94.569,11
39.058,-94.551,16
39.063,-94.549,27
39.038,-94.557,5
39.055,-94.552,14
39.062,-94.548,21
39.044,-94.558,12
39.060,-94.550,22
39.036,-94.572,1
39.070,-94.557,11
39.035,-94.567,6
39.056,-94.552,11
39.064,-94.556,11
39.064,-94.565,7
39.060,-94.553,7
39.058,-94.565,11
39.058,-94.566,5
39.046,-94.549,24
39.044,-94.564,7
39.053,-94.556,9
39.067,-94.551,7
39.054,-94.564,10
39.037,-94.552,11
39.070,-94.565,6
39.067,-94.556,5
39.062,-94.566,8
39.062,-94.549,7
39.071,-94.554,1
39.044,-94.570,9
39.067,-94.559,5
39.059,-94.545,2
39.059,-94.572,5
39.059,-94.568,1
39.064,-94.550,12
39.038,-94.558,3
39.054,-94.567,12
39.063,-94.575,4
39.044,-94.551,48
39.039,-94.563,6
39.041,-94.568,5
39.054,-94.557,12
39.054,-94.556,24
39.057,-94.559,7
39.069,-94.553,6
39.070,-94.570,1
39.050,-94.562,3
39.033,-94.568,1
39.048,-94.564,7
39.042,-94.551,20
39.068,-94.570,4
39.054,-94.569,7
39.065,-94.555,14
39.046,-94.560,6
39.038,-94.556,3
39.054,-94.554,7
39.054,-94.562,9
39.049,-94.547,8
39.044,-94.563,8
39.056,-94.561,11
39.057,-94.547,9
39.049,-94.571,13
39.048,-94.555,12
39.046,-94.565,11
39.063,-94.555,18
39.071,-94.562,7
39.044,-94.560,10
39.034,-94.561,12
39.047,-94.546,1
39.054,-94.576,4
39.052,-94.552,14
39.051,-94.551,8
39.053,-94.549,13
39.035,-94.552,11
39.048,-94.561,5
39.069,-94.551,5
39.047,-94.576,2
39.045,-94.575,1
39.056,-94.575,3
39.055,-94.549,16
39.048,-94.550,32
39.059,-94.553,10
39.045,-94.558,14
39.046,-94.571,3
39.068,-94.550,1
39.034,-94.573,4
39.067,-94.564,4
39.057,-94.568,1
39.058,-94.557,4
39.036,-94.554,2
39.070,-94.564,6
39.067,-94.554,12
39.069,-94.573,2
39.070,-94.571,2
39.054,-94.563,11
39.054,-94.572,10
39.045,-94.550,22
39.055,-94.563,6
39.043,-94.564,6
39.051,-94.571,5
39.060,-94.562,16
39.049,-94.561,13
39.053,-94.548,9
39.036,-94.571,3
39.062,-94.567,12
39.058,-94.546,15
39.049,-94.555,5
39.061,-94.551,7
39.055,-94.561,4
39.046,-94.567,15
39.071,-94.564,2
39.060,-94.561,8
39.068,-94.571,10
39.053,-94.555,16
39.065,-94.573,9
39.059,-94.559,24
39.052,-94.549,15
39.033,-94.554,6
39.040,-94.556,6
39.045,-94.555,12
39.035,-94.571,1
39.063,-94.546,7
39.052,-94.567,10
39.043,-94.572,7
39.047,-94.566,20
39.057,-94.562,1
39.052,-94.569,16
39.062,-94.557,9
39.069,-94.559,1
39.033,-94.551,1
39.051,-94.555,7
39.061,-94.574,2
